Date,Views,Watch time (hours),Average view duration,Estimated revenue (USD),Video title,Video publish time,Duration,Video views,Watch time (hours)
9/4/24,146055,44113.0749,0:18:07,1120.044,Drug Smuggling Team | Border Security: Australia's Front Line,10-Oct-22,1325,238965,52332.8181
9/3/24,154763,44103.678,0:17:05,1131.248,$8k Fine For What?!?! | Border Security: Australia's Front Line,5-Nov-23,1321,233724,55213.5708
9/2/24,152229,42077.4274,0:16:35,958.826,Refusing a Search at Customs | Border Security: Australia's Front Line,28-May-23,1456,232267,51450.7835
9/1/24,155353,42973.809,0:16:35,1007.686,UK Couple Fails to Declare | Border Security: Australia's Front Line,17-Feb-24,1275,228893,49634.6335
8/31/24,170522,45360.308,0:15:57,1168.399,UK Border Patrol Security Customs Agents Defending the Border | Locked Up Abroad,7-Nov-19,1380,224055,53855.026
8/30/24,142786,39001.8311,0:16:23,1072.626,Banned by Border Patrol - Border Security Binge Starts Now,18-Jun-24,8092,223000,201775.4325
8/29/24,180260,45394.0616,0:15:06,1312.557,Rookie Drug Dog Find a Mule | Border Security: Australia's Front Line,4-Oct-23,1416,222719,56827.0606
8/28/24,165969,36063.2279,0:13:02,997.481,"German Keeps Cool After $450,000 Heroin Bust | Border Security: Australia's Front Line",29-Oct-23,1271,222510,48067.1867
8/27/24,176845,41788.3352,0:14:10,1133.009,Broke Canadian's Entry at Risk | Border Security: Australia's Front Line,17-Mar-24,1376,222309,51860.2394
8/26/24,205851,49406.9446,0:14:24,1311.179,Customs Discovers Suitcase Full of Marijuana | Border Security: Canada's Front Line,4-May-22,1301,219712,39917.3473
8/25/24,187140,45332.821,0:14:32,1076.151,Unsettling Behavior Raises Red Flags | Border Security: Australia's Front Line,4-Apr-24,1366,219014,51560.2985
8/24/24,216505,43296.4293,0:11:59,1118.822,UK Customs Drug Sniffing Security Dogs | Border Patrol,5-Dec-19,1388,214172,50507.6958
8/23/24,240915,48703.4644,0:12:07,1359.439,"Only an ""Occasional"" Drug Dealer | Border Security: Australia's Front Line",3-Mar-24,1406,213213,51966.9918
8/22/24,204685,43278.0048,0:12:41,1189.459,How to Spot a Drug Mule | Border Security: Australia's Front Line,14-May-23,1521,212474,57823.066
8/21/24,214679,42746.1072,0:11:56,1115.539,Coast Guard Alaska | Season Four Episode 1 Premiere! | Full Episode,1-Aug-20,2553,210904,58200.2781
8/20/24,186075,44398.8202,0:14:18,1154.355,Aussies Caught with Huge Pill Stash | Border Security: Australia's Front Line,22-Feb-24,1385,209931,53454.7815
8/19/24,209028,49031.0108,0:14:04,1339.175,Helicopter Wars | Vietnam Firefight! | Season 1 Episode 2 | Full Episode,28-Mar-21,3010,207630,42040.2453
8/18/24,178665,45621.4808,0:15:19,1124.454,Dangerous Pedophiles | Asia's Underworld | Full Episode,21-Mar-18,1420,203979,23504.7793
8/17/24,145119,36001.4007,0:14:53,940.981,Why is She Traveling With $20k? | Border Security: Australia's Front Line,4-Jun-23,1521,202196,53774.8206
8/16/24,136961,34603.9114,0:15:09,1047.958,Irishman's Luck Runs OutÊ | Border Security: Australia's Front Line,7-May-23,1496,200500,57615.3752
8/15/24,160673,40840.621,0:15:15,1271.131,Wedding Scouting Riddle | Border Security: Australia's Front Line,3-Nov-23,1376,198506,50096.1
8/14/24,153073,39081.7351,0:15:19,1118.489,Lost at Sea! | Coast Guard Alaska | Full Episode,6-Jun-20,2554,196466,63132.3471
8/13/24,184990,49284.4456,0:15:59,1415.16,Customs Discovers 70G of Heroin Smuggled...Internally | Border Security: Australia's Front Line,23-Jul-23,1356,196192,46833.1465
8/12/24,174590,46901.3707,0:16:07,1251.143,Searching for a Domestic Terrorist | Manhunt: Catch Me If You Can | Season 1 Episode 2,9-Apr-22,2685,194617,63764.2063
8/11/24,191844,53036.0595,0:16:35,1553.226,Bag Contents Raise Doubts | Border Security: Australia's Front Line,13-Jan-24,1268,194502,43164.3992
8/10/24,173336,47994.4146,0:16:36,1428.925,Hot Mess at the Border - Border Security Australia - DangerTV,16-Sep-24,6855,192508,129275.1489
8/9/24,185704,50676.5204,0:16:22,1496.561,Nothing to Declare - Border Security Australia,4-Jul-24,1356,190206,37130.8307
8/8/24,192580,48170.8475,0:15:00,1404.643,Going in Raw - Border Security Australia,27-May-24,1431,190162,33600.9285
8/7/24,216489,51966.9734,0:14:24,1373.063,Saturday Bust-a-thon - Border Security Australia - DangerTV,14-Sep-24,6990,187765,134787.9079
8/6/24,229146,53590.6608,0:14:01,1388.384,Clearing Shipwrecks From Dutch Waterways | The Salvage Masters,5-May-23,2631,187247,35263.1583
8/5/24,238312,56633.243,0:14:15,1586.524,How to Flirt Your Way Through Customs | Border Security: Australia's Front Line,9-Jul-23,1301,183102,34906.6765
8/4/24,239064,61648.5358,0:15:28,1555.298,Bringing in a Biohazard | Border Security: Australia's Front Line,10-Feb-24,1321,179329,42897.3377
8/3/24,206334,53692.4925,0:15:36,1398.493,American's Colossal Customs Blunder | Border Security: Australia's Front Line,31-Mar-24,1296,179290,37649.3293
8/2/24,199560,57249.8309,0:17:12,1541.749,Brisbane Airport Evacuation | Border Security: Australia's Front Line,20-Oct-23,1325,176527,45045.079
8/1/24,194126,57386.1618,0:17:44,1421.353,UK Border Force | Suspicious Cash at Heathrow Airport | Season 2 Episode 9 - Full Episode,19-Apr-21,2691,174119,71983.289
7/31/24,149623,45473.5765,0:18:14,1095.23,Hong Kong Heroin Contraband | Border Security: Australia's Front Line,5-Aug-22,1390,171170,40585.14
7/30/24,157538,47806.0754,0:18:12,1165.032,Identical Documents Raise Red Flags | Border Security: Australia's Front Line,7-Mar-24,1330,170709,37614.4245
7/29/24,152048,52505.3229,0:20:43,1340.785,Seized: Aussie's Weapons Stash | Border Security: Australia's Front Line,21-Dec-23,1304,169978,38342.3463
7/28/24,153587,55483.5269,0:21:40,1322.738,Woman caught lying at the border #bordersecurity #immigration #boyfriend #fiance #travel #caught,1-Mar-23,44,169595,2253.9467
7/27/24,157490,55193.6383,0:21:01,1457.754,Criminal Record Threatens Cross-Border Relationship | Border Security: Australia's Front Line,7-Dec-23,1385,168555,42847.0141
7/26/24,172536,59140.1369,0:20:33,1636.43,Backpacker Sets Off Drug Alarms | Border Security: Australia's Front Line,15-Sep-23,1336,167005,41834.3913
7/25/24,183363,54744.5436,0:17:54,1582.637,Korean Cocaine Trafficker | Border Security: Australia's Front Line,5-Oct-22,1296,164444,36294.357
7/24/24,160316,47418.9911,0:17:44,1252.241,Access Denied - Border Security Australia shuts it down,17-Jun-24,1400,162130,37093.5026
7/23/24,176866,52697.0879,0:17:52,1409.686,UK Border Force | Con Air | Season 2 Episode 6 - Full Episode,16-Apr-21,2700,161915,72135.0424
7/22/24,146585,47807.7677,0:19:34,1163.369,Border Patrol informs American she can't just get a job wherever #immigration #bordersecurity,8-Apr-24,59,160970,2176.6591
7/21/24,147572,48963.4688,0:19:54,1175.359,Vehicle Identification VIN Number #auto #landrover,15-Jan-23,58,160928,2358.668
7/20/24,147180,52396.7509,0:21:21,1268.515,Traveler Meltdown at Customs | Border Security: Canada's Front Line,18-Apr-22,1301,158496,30673.3253
7/19/24,154693,49143.5907,0:19:03,1255.021,Anniversary Trip Spoiled by Border Patrol | Border Security: Australia's Front Line,3-Sep-23,1376,156808,38997.1436
