Cities,City name,Views,Watch time (hours),Average view duration
0x884d0c4d6aa966fd:0x249dbecbdbb0989b,"Roanoke, VA, USA",18661,891.1301,0:02:51
0x872b23272d679d37:0x9f14430b838d3b54,"Glendale, AZ, USA",18478,1510.4868,0:04:54
0x47900b9749bea219:0xe66e8df1e71fdc03,"Zürich, Switzerland",18413,349.4022,0:01:08
0x3a1909d2d5170aa5:0xfc580e2b68b33fa8,"Bhubaneswar, Odisha, India",18313,199.6208,0:00:39
0x48795f7ae9c21919:0x8fe0edd83227194f,"Bradford, UK",18257,2842.3697,0:09:20
0x3755b8b087026b81:0x8fa563bbdd5904c2,"Dhaka, Bangladesh",17976,423.7293,0:01:24
0x809053f6f47c5f51:0xbf94ba32c437632b,"Modesto, CA, USA",17647,1857.3722,0:06:18
0x872ba90de045ae43:0x6453ae977fd9ef7e,"Gilbert, AZ, USA",17633,1402.4141,0:04:46
0x39740d857c2f41d9:0x784aef38a9523b42,"Agra, Uttar Pradesh, India",17564,188.888,0:00:38
0x3753f40dc94123a7:0xd0a1263c6c40c8c7,"Agartala, Tripura, India",17562,232.1569,0:00:47
0x486e02d434ec53f5:0x143406db6586670e,"Cardiff, UK",17369,2178.4928,0:07:31
0x80c28633acd51827:0x564a8fe07305d648,"Santa Clarita, CA, USA",17294,1697.8431,0:05:53
0x486c8d530e95ea3d:0x3b282cb5cef58593,"Plymouth, UK",17229,1689.1225,0:05:52
0x809ab8cbe0a2f839:0xca0ceb60d31c08e8,"Elk Grove, CA, USA",17016,1898.5445,0:06:41
0x54bffefcbc4b9c63:0xf93429e08f0357c2,"Salem, OR, USA",16977,1729.318,0:06:06
0x8796be59ca561265:0x633a859b1fd5deb9,"Lincoln, NE, USA",16730,1337.235,0:04:47
0x89d6b3059614b353:0x5a001ffc4125e61e,"Rochester, NY, USA",16568,2897.8548,0:10:29
0x89c250d225bfafdd:0x249f013a2cd25d9,"Jersey City, NJ, USA",16468,2019.3978,0:07:21
0x487832d2390779cd:0x108063201919db15,"Nottingham, UK",16412,2395.591,0:08:45
0x89ba973a5322ca45:0xab99107fce7a1e0a,"Norfolk, VA, USA",16046,2589.8536,0:09:41
0x47bd096f477096c5:0x422435029b0c600,"Frankfurt, Germany",15993,292.5709,0:01:05
0x89ace471120f66f1:0xe17ada898a46f27e,"Durham, NC, USA",15889,2155.0287,0:08:08
0x80e84de61325679f:0x598049c0fa5eb645,"Oxnard, CA, USA",15815,1467.192,0:05:33
0x54c119b0ac501919:0x57ec61894a43894d,"Eugene, OR, USA",15740,1341.7119,0:05:06
0x33a999258dcd2dfd:0x4c34030cdbd33507,"Cebu City,  Cebu, Philippines",15647,397.0551,0:01:31
0x47b161837e1813b9:0x4263df27bd63aa0,"Hamburg, Germany",15313,230.3349,0:00:54
0x80843bc936e647d7:0x5ccd656bc54f4849,"Santa Rosa, CA, USA",15090,1396.4013,0:05:33
0x864c2c75c10c5065:0xf1a21a5dca2b198d,"Lewisville, TX, USA",15064,1089.9567,0:04:20
0x80dd283f9d1dcd8d:0x3909622bd0f8b3a,"Garden Grove, CA, USA",15043,1713.2201,0:06:49
0x872b0898a6aa80e3:0xa2dd4aad392cb41f,"Tempe, AZ, USA",14899,976.7853,0:03:56
0x80c34b8f224409c3:0x78cbf3c11829549b,"Fontana, CA, USA",14872,1360.2357,0:05:29
0x15c3d01fb1137e59:0xe059579737b118db,Jeddah Saudi Arabia,14862,332.662,0:01:20
0x390cf1bb41c50fdf:0xe6f06fd26a7798ba,"Ghaziabad, Uttar Pradesh, India",14830,158.3882,0:00:38
0x86249c4364c5d89b:0xc94a752492f7ff13,"Lafayette, LA, USA",14820,642.3891,0:02:36
0x14caa7040068086b:0xe1ccfe98bc01b0d0,"İstanbul, Türkiye",14719,360.6035,0:01:28
0x8853193f38c77b79:0x93b9c49478be12c8,"Greensboro, NC, USA",14621,2022.1146,0:08:17
0x88deeaeff6c50ead:0xf44a54f9de7e10e0,"Port St. Lucie, FL, USA",14615,1549.3838,0:06:21
0x8830d7958b2efab7:0x29c96c95fd266d04,"Akron, OH, USA",14569,1488.5232,0:06:07
0x4765d692c902cc39:0x3a45249628fbc28a,"Zagreb, Croatia",14441,179.5708,0:00:44
0x88db44a7e78016f5:0xafd1a4163a9b6ff2,"Cape Coral, FL, USA",14420,1475.3123,0:06:08
0x1ef7aa0001bc61b7:0xcca75546c4aa6e81,"Durban, South Africa",14049,2152.128,0:09:11
0x80dca109db19e29b:0xc3fab215a09b3f2c,"Moreno Valley, CA, USA",14011,1389.6528,0:05:57
0x8c03686fe268196f:0xad6b7f0f5c935adc,"San Juan, Puerto Rico",13904,183.9989,0:00:47
0x80c3645a63ddd279:0xd95115925f43476,"Victorville, CA, USA",13875,1889.604,0:08:10
0x80dd2422f9c82ab5:0x45ed85c9a4663b01,"Huntington Beach, CA, USA",13865,1427.9137,0:06:10
0xd422997800a3c81:0xc436dec1618c2269,"Madrid, Spain",13833,336.3085,0:01:27
